repo_name,description,owner,topic,urls,user_api,repo_api,location
AutonomousCar,🏎 self-driving car,felop,"['arduino', 'autonomous-car', 'autonomous-driving', 'autonomous-vehicles', 'deep-learning', 'keras-tensorflow', 'machine-learning', 'neural-network', 'raspberry-pi']",https://github.com/felop/AutonomousCar,https://api.github.com/users/felop,https://api.github.com/repos/felop/AutonomousCar,Paris
Traffic-Image-Classifier,Self Driving cars,ShubhamkumarAnand,[],https://github.com/ShubhamkumarAnand/Traffic-Image-Classifier,https://api.github.com/users/ShubhamkumarAnand,https://api.github.com/repos/ShubhamkumarAnand/Traffic-Image-Classifier,"New Delhi, India"
py-gtasa,Self driving car in GTA San Andreas with OpenCV,AeroAndZero,"['auto-drive', 'automation', 'gta-sa', 'opencv', 'python']",https://github.com/AeroAndZero/py-gtasa,https://api.github.com/users/AeroAndZero,https://api.github.com/repos/AeroAndZero/py-gtasa,"Ahmedabad, Gujarat, India"
fuzzy-selfdriving-car,A python game illustrating how a self-driving car works,taintpro98,[],https://github.com/taintpro98/fuzzy-selfdriving-car,https://api.github.com/users/taintpro98,https://api.github.com/repos/taintpro98/fuzzy-selfdriving-car,"Hanoi, Vietnam"
CarND-Path-Planning,Udacity's self driving car engineer - Path Planning project,m-pushkar,[],https://github.com/m-pushkar/CarND-Path-Planning,https://api.github.com/users/m-pushkar,https://api.github.com/repos/m-pushkar/CarND-Path-Planning,"San Francisco, CA"
SelfDrivingCar,Python Opencv Self Driving Car running on Raspberry Pi,jyjblrd,[],https://github.com/jyjblrd/SelfDrivingCar,https://api.github.com/users/jyjblrd,https://api.github.com/repos/jyjblrd/SelfDrivingCar,Cambridge
self-driving-vehicle,Projects for Udacity's self-driving-car Nano-Degree program,Sardhendu,"['advance-lane-detection', 'computer-vision', 'cplusplus', 'deep-learning', 'extended-kalman-filters', 'kalman-filter', 'keras', 'lane-detection', 'machine-learning', 'particle-filter', 'path-planning', 'pid', 'self-driving-car', 'self-driving-car-engineer', 'sensor-fusion', 'tensorflow', 'traffic-sign-classification', 'udacity-self-driving-car']",https://github.com/Sardhendu/self-driving-vehicle,https://api.github.com/users/Sardhendu,https://api.github.com/repos/Sardhendu/self-driving-vehicle,"Chicago, Illinois"
Udacity-SCND-Programming-a-Real-Self-Driving-Car,"Capstone Project : In this project, we implement a Real Self Driving Car in python to maneuver the vehicle around the track while following the traffic rules.",asagar60,[],https://github.com/asagar60/Udacity-SCND-Programming-a-Real-Self-Driving-Car,https://api.github.com/users/asagar60,https://api.github.com/repos/asagar60/Udacity-SCND-Programming-a-Real-Self-Driving-Car,New Delhi
udsdc_p9_system_integration,Self-driving car system integration,ryanotron,[],https://github.com/ryanotron/udsdc_p9_system_integration,https://api.github.com/users/ryanotron,https://api.github.com/repos/ryanotron/udsdc_p9_system_integration,Singapore
self-driving-agent,AI Self Driving Carla Agent,Teo03,[],https://github.com/Teo03/self-driving-agent,https://api.github.com/users/Teo03,https://api.github.com/repos/Teo03/self-driving-agent,127.0.0.1
Self-Driving-Car-Specialization,Self Driving Car Specialization -- Coursera,Alvi-Rahman,[],https://github.com/Alvi-Rahman/Self-Driving-Car-Specialization,https://api.github.com/users/Alvi-Rahman,https://api.github.com/repos/Alvi-Rahman/Self-Driving-Car-Specialization,"Dhaka, Bangladesh"
raspberryPiCar,A self driving car project ,pddang,[],https://github.com/pddang/raspberryPiCar,https://api.github.com/users/pddang,https://api.github.com/repos/pddang/raspberryPiCar,"Irvine, CA"
self-driving-car-decal,Self Driving Car Decal sp20,alexis-wei,[],https://github.com/alexis-wei/self-driving-car-decal,https://api.github.com/users/alexis-wei,https://api.github.com/repos/alexis-wei/self-driving-car-decal,San Francisco
ML-SelfDrivingCar,Self Driving Car with ML,mohasinac,[],https://github.com/mohasinac/ML-SelfDrivingCar,https://api.github.com/users/mohasinac,https://api.github.com/repos/mohasinac/ML-SelfDrivingCar,"Hyderabad, India"
CarND-LaneLines-P1,Self Driving Nano Degree Program,itsiashu,[],https://github.com/itsiashu/CarND-LaneLines-P1,https://api.github.com/users/itsiashu,https://api.github.com/repos/itsiashu/CarND-LaneLines-P1,"San Jose, CA"
self-driving-kia,Learning self driving cars dev,solohin,[],https://github.com/solohin/self-driving-kia,https://api.github.com/users/solohin,https://api.github.com/repos/solohin/self-driving-kia,USA
IoT,NTU self-driving car course,PunchShadow,[],https://github.com/PunchShadow/IoT,https://api.github.com/users/PunchShadow,https://api.github.com/repos/PunchShadow/IoT,Taiwan
Particle_Filter,Localizing a self-driving car,nikhita215,[],https://github.com/nikhita215/Particle_Filter,https://api.github.com/users/nikhita215,https://api.github.com/repos/nikhita215/Particle_Filter,"Ann Arbor, MI"
walleselfdrivingcar,Self Driving Car in VHDL,yakupcatalkaya,[],https://github.com/yakupcatalkaya/walleselfdrivingcar,https://api.github.com/users/yakupcatalkaya,https://api.github.com/repos/yakupcatalkaya/walleselfdrivingcar,Turkey
auto-minicar,Self-driving (autonomous) mini-car.,anthonykrivonos,[],https://github.com/anthonykrivonos/auto-minicar,https://api.github.com/users/anthonykrivonos,https://api.github.com/repos/anthonykrivonos/auto-minicar,"New York, New York"
Behavioural-cloning-in-self-driving-car,Udacity self driving car nanodegree ,Pramod07Ch,"['behavioral-cloning', 'udacity']",https://github.com/Pramod07Ch/Behavioural-cloning-in-self-driving-car,https://api.github.com/users/Pramod07Ch,https://api.github.com/repos/Pramod07Ch/Behavioural-cloning-in-self-driving-car,Germany
offline-Self-driving-autonomous-vehicle,offline Self-driving ( autonomous ) vehicle,Radfar,[],https://github.com/Radfar/offline-Self-driving-autonomous-vehicle,https://api.github.com/users/Radfar,https://api.github.com/repos/Radfar/offline-Self-driving-autonomous-vehicle,"Iran, Tehran"
SelfDrivingCar,Self-Driving car using QLearning,illuri96,[],https://github.com/illuri96/SelfDrivingCar,https://api.github.com/users/illuri96,https://api.github.com/repos/illuri96/SelfDrivingCar,"Jersey city, New Jersey"
finding-lane-lines-on-the-road,Self-Driving Car Engineer Nanodegree,naneja,[],https://github.com/naneja/finding-lane-lines-on-the-road,https://api.github.com/users/naneja,https://api.github.com/repos/naneja/finding-lane-lines-on-the-road,Brunei Darussalam
Intro-To-Self-Driving-Car,Into to Self-Driving Cars,Mohamed-Arafaath,"['computer-vision', 'machinelearning', 'nanodegree', 'python', 'udacity', 'udacity-self-driving-car']",https://github.com/Mohamed-Arafaath/Intro-To-Self-Driving-Car,https://api.github.com/users/Mohamed-Arafaath,https://api.github.com/repos/Mohamed-Arafaath/Intro-To-Self-Driving-Car,"Rome, Italy"
Udacity-Self-Driving-Car,Learn about how self-driving cars work and about the services available to you as part of the Repository..,TambiGarv,[],https://github.com/TambiGarv/Udacity-Self-Driving-Car,https://api.github.com/users/TambiGarv,https://api.github.com/repos/TambiGarv/Udacity-Self-Driving-Car,RAJASTHAN
Highway-Driving,Path planning in highway driving for a self driving car.,SRatna,[],https://github.com/SRatna/Highway-Driving,https://api.github.com/users/SRatna,https://api.github.com/repos/SRatna/Highway-Driving,"Siegen, Germany"
CarND-HighwayDriving-P7,P7 Reflection - Highway Driving - Udacity Self-Driving Car Nanodegree,ednaldogoncalves,[],https://github.com/ednaldogoncalves/CarND-HighwayDriving-P7,https://api.github.com/users/ednaldogoncalves,https://api.github.com/repos/ednaldogoncalves/CarND-HighwayDriving-P7,Brasilia/Brazil
Udacity-CarND-Path-Panning,Udacity Self Driving Car Nanodegree Highway Driving/Path Planning Project,mikec-w,[],https://github.com/mikec-w/Udacity-CarND-Path-Panning,https://api.github.com/users/mikec-w,https://api.github.com/repos/mikec-w/Udacity-CarND-Path-Panning,"Oxford, UK"
Smart-Cab-Self-driving-cab-,A self-driving cab company wanted to design a simulation of a self-driving cab.,souji2k8,[],https://github.com/souji2k8/Smart-Cab-Self-driving-cab-,https://api.github.com/users/souji2k8,https://api.github.com/repos/souji2k8/Smart-Cab-Self-driving-cab-,Hyderabad
CarND-Capstone,Final project of the Udacity Self-Driving Car Nanodegree: Programming a Real Self-Driving Car,mardeltri,[],https://github.com/mardeltri/CarND-Capstone,https://api.github.com/users/mardeltri,https://api.github.com/repos/mardeltri/CarND-Capstone,"Getafe, Madrid"
CarND-Path-Planning-Project,Udacity Self Driving Nanodegree Project 5,kpilkk,"['car-localization', 'carnd', 'carnd-path-planning-project', 'udacity', 'udacity-nanodegree', 'udacity-self-driving-car']",https://github.com/kpilkk/CarND-Path-Planning-Project,https://api.github.com/users/kpilkk,https://api.github.com/repos/kpilkk/CarND-Path-Planning-Project,Bangalore
Translate-python-to-C-,UDACITY Intro to self driving car project,kunjanchaudhari,[],https://github.com/kunjanchaudhari/Translate-python-to-C-,https://api.github.com/users/kunjanchaudhari,https://api.github.com/repos/kunjanchaudhari/Translate-python-to-C-,"Natick,MA"
Intro_to_Self_Driving_Cars_Nanodegree,Udacitys Intro To Self Driving Car Nanodegree,nmazzilli3,[],https://github.com/nmazzilli3/Intro_to_Self_Driving_Cars_Nanodegree,https://api.github.com/users/nmazzilli3,https://api.github.com/repos/nmazzilli3/Intro_to_Self_Driving_Cars_Nanodegree,"Ann Arbor, Michigan"
controller_project,Self driving car tragectory following controller,midhulesh3,[],https://github.com/midhulesh3/controller_project,https://api.github.com/users/midhulesh3,https://api.github.com/repos/midhulesh3/controller_project,Medford
track,Udacity Self Driving Car Simulator Data,abidaks,[],https://github.com/abidaks/track,https://api.github.com/users/abidaks,https://api.github.com/repos/abidaks/track,Dubai
#NAME?,Udacity Self-Driving Car Engineer Nanodegree projects.,krantirk,[],https://github.com/krantirk/-self-driving-car,https://api.github.com/users/krantirk,https://api.github.com/repos/krantirk/-self-driving-car,India
IntroCarND-Two-Dimentional-Histogram-Filter-Lab,Udacity Introduction to Self-driving Cars Nanodegree,kuangye124,[],https://github.com/kuangye124/IntroCarND-Two-Dimentional-Histogram-Filter-Lab,https://api.github.com/users/kuangye124,https://api.github.com/repos/kuangye124/IntroCarND-Two-Dimentional-Histogram-Filter-Lab,"Novi, MI"
mini-self-driving-car,A mini self-driving car using Verilog,mchanchee,[],https://github.com/mchanchee/mini-self-driving-car,https://api.github.com/users/mchanchee,https://api.github.com/repos/mchanchee/mini-self-driving-car,"Toronto, Canada"
Finding-Lane-Lines,Self-Driving Project to Find Lane Lines ,ahmaro,[],https://github.com/ahmaro/Finding-Lane-Lines,https://api.github.com/users/ahmaro,https://api.github.com/repos/ahmaro/Finding-Lane-Lines,"Stuttgart, Germany"
path_planning_project,Udacity Self Driving path planning project repo,nikhilparla,[],https://github.com/nikhilparla/path_planning_project,https://api.github.com/users/nikhilparla,https://api.github.com/repos/nikhilparla/path_planning_project,"Michigan, USA"
self-driving-car-course,Online course for self-driving car development,n-meunier,"['autonomous-vehicles', 'opencv', 'python', 'self-driving-car']",https://github.com/n-meunier/self-driving-car-course,https://api.github.com/users/n-meunier,https://api.github.com/repos/n-meunier/self-driving-car-course,Tokyo
self-driving-car-projects,Udacity Self-Driving Car Engineer Nanodegree projects.,nbarendes,[],https://github.com/nbarendes/self-driving-car-projects,https://api.github.com/users/nbarendes,https://api.github.com/repos/nbarendes/self-driving-car-projects,"Toulon, France"
IntroCarND-Reconstructing-Trajectories-Lab,Udacity Introduction to Self-driving Cars Nanodegree,kuangye124,[],https://github.com/kuangye124/IntroCarND-Reconstructing-Trajectories-Lab,https://api.github.com/users/kuangye124,https://api.github.com/repos/kuangye124/IntroCarND-Reconstructing-Trajectories-Lab,"Novi, MI"
